nama_pemilik_perusahaan,alamat_pemilik_perusahaan,telepon,npwp_perusahaan,direktur_perusahaan,mitra,jenis,no_spbu,mulai_beroperasi,kode_spbu,wilayah_spbu,alamat_spbu,kelurahan_spbu,kecamatan_spbu,izin_terakhir,tanggal_izin,berlaku_sampai,keterangan
KOPERASI KARYAWAN DP3KK,"Jl. Angkasa Blok B-7/8, Gunung Sahari Selatan, Kemayoran, Jakarta Pusat 10610",(021) 6546405,,Ananta Hidayat,Pertamina,SPBU,34-14413,,JU/041/2007/II,Jakarta Utara,"Jl. Benyamin Sueb Blok C-4, Pademangan Timur, Pademangan, Jakarta Utara 14410",Pademangan Timur,Pademangan,83/2012,2/10/2012,,PJ/Selama Masih Beroperasi
PT. INPRASE UTAMA MANDIRI,"Jl. Sunter Garden Raya Blok D8 No. 3G-3H, Sunter Agung, Tanjung Priok, Jakarta Utara 14350","(021) 65837620, (021) 65837838",02.504.623.6-048.000,Eddy Purwanto Winata,Pertamina,SPBU,34-14414,,JU/191/2008/II,Jakarta Utara,"Jl. Gedong Panjang No. 44 RT001/RW09, Penjaringan, Penjaringan, Jakarta Utara 14430",Penjaringan,Penjaringan,54/2014,9/05/2014,,PJ/Selama Masih Beroperasi
PT. MAGENDRA SHATRA PRATAMA,"Jl. KH. Abdullah Syafei (Jl. Lapangan Roos), Bukit Duri, Tebet, Jakarta Selatan 12480",(021) 8281277,,,Pertamina,SPBU,34-14415,,JU/265/2009/II,Jakarta Utara,"Jl. Bukit Golf Mediterania Pantai Indah Kapuk, Kamal Muara, Penjaringan, Jakarta Utara 14470",Kamal Muara,Penjaringan,145/2009,16/11/2009,16/11/2014,Baru
PT. JAKARTA MANAJEMEN ESTATINDO,"Jl. Taman Pluit Putri Dalam No. 1A, Pluit, Penjaringan, Jakarta Utara 14450","(021) 66601772, (021) 66601771",,,Pertamina,SPBU&G,34-14416,,JU/303/2011/II,Jakarta Utara,"Jl. Pluit Permai (Komp. Mega Mall Pluit), Pluit, Penjaringan, Jakarta Utara 14450",Pluit,Penjaringan,52/2011,4/04/2011,4/04/2016,Baru
PT. SURYA ARTHA GLOBALINDO,"Apartemen Mitra Bahari, Tower B Lantai Dasar No. 8, Jl. Pakin Raya No. 1, Jakarta Utara 14440","(021) 6693527, (021) 66694647",,Sudianto Suman,Pertamina,SPBB,36-44029,,JU/350/B/2013/II,Jakarta Utara,"Dermaga Timur, Pelabuhan Perikanan Samudera Nizam Zachman, Pluit, Penjaringan, Jakarta Utara 14440",Pluit,Penjaringan,33/2013,16/04/2013,,PTH/Selama Msh Beroperasi
HERU WIDYA HARUN,"Jl. KH. Wahid Hasyim No. 48B Lt. 1, Kebon Sirih, Menteng, Jakarta Pusat 10340",(021) 3908166,,,Pertamina,SPBB,37-0104,,JU/04/B2008/IIP,Jakarta Utara,"Pelabuhan Samudra Nizam Zachman, Jakarta Utara  ",,,695/2008,14/11/2008,14/11/2010,Expired
PT. NATA SEMPURNA ABADI,Jl. Dr. Saharjo Swadaya II No. 36,,,,Pertamina,SPBB,37-0109,,KS/02/B/2006/II,Kepulauan Seribu,"Perairan Pulau Untung Jawa, Kepulauan Seribu",Kepulauan Seribu,Untung Jawa,275/2007,31/05/2007,31/05/2012,Expired
PT. KEDATON NIRWANA ABADI,"Perkantoran Royal Sunter, Jl. Danau Sunter Selatan Blok C25 Lt. 2, Sunter Jaya, Tanjung Priok, Jakarta Utara 14350",,,,Pertamina,SPBB,37-0111,,JU/01/B/2006/II,Jakarta Utara,"Perairan Pelabuhan Marunda, Jakarta Utara  ",,,19/2006,18/11/2006,18/11/2011,Expired
PT. BINTANG MUARA JAYA,"Jl. Guntur No. 3 RT003/RW07, Pesanggrahan, Pesanggrahan, Jakarta Selatan 12320","(021) 7985894, (021) 7985895",,Achmad NoviAN R,Pertamina,SPBB,37-0112,,JU/03/B/2007/II,Jakarta Utara,"Kawasan Pelabuhan Muara Angke, Penjaringan, Penjaringan, Jakarta Utara 14430",Penjaringan,Penjaringan,80/2012,10/09/2012,,PJ/Selama Masih Beroperasi
KOPERASI PEGAWAI NEGERI DINAS PERIKANAN DKI JKT,"Jl. Gunung Sahari Raya No. 11 Lt. 8, Jakarta Pusat","(021) 6630615, (021) 66604187",,,Pertamina,SPBB,37-0115,,JU/289/2010/II/P,Jakarta Utara,"Komp. Pelelangan Ikan Muara Angke, Pluit, Penjaringan, Jakarta Utara 14440",Pluit,Penjaringan,92/2011,23/06/2011,23/06/2016,Perpanjangan
PT. YAMAHA INDONESIA MOTOR MANUFACTURING,"Jl. DR. KRT. Radjiman Widyodiningrat, Rawa Terate, Cakung, Jakarta Timur 13920","(021) 4612222, (021) 4601710",,Henry Hartono Gani,Pertamina,SPBI,,,JT/335/2012/II,Jakarta Timur,"Jl. DR. KRT. Radjiman Widyoningrat, Rawa Terate, Cakung, Jakarta Timur 13920",Rawa Terate,Cakung,98/2012,28/11/2012,,BR/Selama Masih Beroperasi
PT. MITSUBISHI KRAMA YUDHA MOTORS AND MANUFACTURING,"Jl. Raya Bekasi Km. 21, Rawa Terate, Cakung, Jakarta Timur 13920","(021) 4602908, (021) 4602915",,,Pertamina,SPBI,,,JT/310/2011/II,Jakarta Timur,"Jl. Raya Bekasi Km. 21, Rawa Terate, Cakung, Jakarta Timur 13920",Rawa Terate,Cakung,100/2011,20/07/2011,20/07/2016,Baru
