nama_pemilik_perusahaan,alamat_pemilik_perusahaan,telepon,npwp_perusahaan,direktur_perusahaan,mitra,jenis,no_spbu,mulai_beroperasi,kode_spbu,wilayah_spbu,alamat_spbu,kelurahan_spbu,kecamatan_spbu,izin_terakhir,tanggal_izin,berlaku_sampai,keterangan
PT. STARARIA PERKASA (Ex. Sugandhi Prabowo),"Jl. RC. Veteran No. 2, Bintaro, Pesanggrahan, Jakarta Selatan 12330","(021) 7341410, (021) 73885272",,,Pertamina,SPBU,34-12301,,JS/082/2008/II/P,Jakarta Selatan,"Jl. RC. Veteran No. 2, Bintaro, Pesanggrahan, Jakarta Selatan 12330",Bintaro,Pesanggrahan,18/2011,27/01/2011,27/01/2016,Perpanjangan
PT. MITRA BONIAGA PRAKARSA (Ex. R.E. Meifianty Pardede),"Jl. Pahlawan Revolusi No. 3 RT003/RW04, Pondok Bambu, Duren Sawit, Jakarta Timur 13430","(021) 8603501, (021) 86610660",,,Pertamina,SPBU,34-12302,,JS/053/2007/II,Jakarta Selatan,"Jl. Arteri Pondok Pinang No. 34 / Sultan Iskandar Muda No. 3, Kebayoran Lama Selatan, Kebayoran Lama, Jakarta Selatan 12240",Kebayoran Lama Selatan,Kebayoran Lama,143/2011,25/11/2011,,PJ/Selama Masih Beroperasi
PT. MAGENDRA SHATRA PRATAMA,"Jl. KH. Abdullah Syafei No. 1, Bukit Duri, Tebet, Jakarta Selatan 12480",(021) 8303744,,,Pertamina,SPBU,34-12303,1994,JS/167/2008/II/P,Jakarta Selatan,"Jl. Bintaro Permai No. 12 RT008/RW01, Bintaro, Pesanggrahan, Jakarta Selatan 12330",Bintaro,Pesanggrahan,150/2009,24/11/2009,24/11/2010,Expired
PT. NANGKOK SERE ENERGY (Ex. PT. Citra Catra Persada),"Jl. Bintaro Permai No. 45 RT006/RW05, Pesanggrahan, Pesanggrahan, Jakarta Selatan 12320",(021) 7341556,,,Pertamina,SPBU,34-12304,2008,JS/168/2008/II/P,Jakarta Selatan,"Jl. Bintaro Permai No. 45 RT006/RW05, Pesanggrahan, Pesanggrahan, Jakarta Selatan 12320",Pesanggrahan,Pesanggrahan,157/2009,26/11/2009,26/11/2014,Perpanjangan
PT. ELNUSA,,,,,Pertamina,SPBU,34-12305,,,Jakarta Selatan,"Jl. RC. Veteran Rempoa Bintaro, Jakarta Selatan ",,,,,,Belum Urus Izin
PT. DELTA KHARISMA ABADI (Ex. Yoseph Arie Susanto W),"Jl. Kesehatan Raya No. 15, Bintaro, Pesanggrahan, Jakarta Selatan 12330","(021) 73886352, (021) 73886418",,Yosep Ariesusanto,Pertamina,SPBU,34-12306,,JS/106/2008/II,Jakarta Selatan,"Jl. Kesehatan Raya No. 15, Bintaro, Pesanggrahan, Jakarta Selatan 12330",Bintaro,Pesanggrahan,86/2012,11/10/2012,,PJ/Selama Masih Beroperasi
PT. SAPTA PUTRA RAHMA,"Jl. Ciputat Raya No. 12, Pondok Pinang, Kebayoran Lama, Jakarta Selatan 12310","(021) 75908720, (021) 75908723",,,Pertamina,SPBU,34-12307,,JS/293/2010/II,Jakarta Selatan,"Jl. Ciputat Raya No. 12, Pondok Pinang, Kebayoran Lama, Jakarta Selatan 12310",Pondok Pinang,Kebayoran Lama,111/2010,22/09/2010,22/09/2015,Baru
PT. MARIBAYA UTAMA,"Jl. Otista IV Cipinang Cempedak No. 17 RT007/RW08, Bidara Cina, Jatinegara, Jakarta Timur 13330","(021) 7200280, (021) 7211401",,,Pertamina,SPBU,34-12401,,JS/299/2010/II,Jakarta Selatan,"Jl. RS. Fatmawati Raya Blok A No. 4, Gandaria Utara, Kebayoran Baru, Jakarta Selatan 12140",Gandaria Utara,Kebayoran Baru,133/2011,9/11/2011,,PJ/Selama Masih Beroperasi
H. SUUDI TABRANI,"Jl. Cilandak KKO RT001/RW07, Cilandak Timur, Pasar Minggu, Jakarta Selatan",(021) 78836538,,,Pertamina,SPBU,34-12402,,JS/226/2008/II/P,Jakarta Selatan,"Jl. Cilandak KKO No. 8, Cilandak Timur, Pasar Minggu, Jakarta Selatan 12560",Cilandak Timur,Pasar Minggu,642/2008,26/09/2008,26/09/2009,Tidak Beroperasi
TOGAR APUL SINURAT,,,,,Pertamina,SPBU,34-12403,,,Jakarta Selatan,"Jl. Lebak BuluS. , Cilandak, Jakarta Selatan ",Cilandak,Cilandak,,,,Tidak Beroperasi
DRA. TUTIEK RAHAYU,"Jl. Purnama No. 1, Cipete Selatan, Jakarta Selatan",(021) 7512895,,,Pertamina,SPBU,34-12404,,JS/206/2008/II/P,Jakarta Selatan,"Jl. RS. Fatmawati No. 35, Cilandak Barat, Cilandak, Jakarta Selatan 12430",Cilandak Barat,Cilandak,499/2008,25/07/2008,25/07/2009,Expired (Berkas Proses)
LUSIANA INDAHYATI,"Jl. Raya RS Fatmawati No. 25, Pondok Labu, Cilandak, Jakarta Selatan 12450",(021) 7658009,,,Pertamina,SPBU,34-12405,,JS/296/2010/II/P,Jakarta Selatan,"Jl. Raya RS. Fatmawati No. 25, Pondok Labu, Cilandak, Jakarta Selatan 12450",Pondok Labu,Cilandak,135/2010,11/11/2010,11/11/2011,Tidak Beroperasi
PT. JAKARTA SELATAN NIAGA CENTRUM (Ex. A. Damanik),"Jl. TB. Simatupang No. 78, Jagakarsa, Jakarta Selatan",(021) 78831436,,,Pertamina,SPBU,34-12406,1995,JS/120/2008/II/P,Jakarta Selatan,"Jl. TB. Simatupang RT012/RW05, Tanjung Barat, Jagakarsa, Jakarta Selatan 12530",Tanjung Barat,Jagakarsa,82/2009,10/07/2009,10/07/2010,Expired (Berkas Proses)
PT. RAMA SETIA (Ex. H. M. Machfud),"Kartika Plaza Arcade, Jl. MH. Thamrin No. 10, Kebon Melati, Tanah Abang, Jakarta Pusat 10230","(021) 75913853, (021) 75913901",,,Pertamina,SPBU,34-12407,,JS/188/2008/II,Jakarta Selatan,"Jl. Terogong Raya, Cilandak Barat, Cilandak, Jakarta Selatan 12430",Cilandak Barat,Cilandak,71/2011,4/05/2011,4/05/2016,Perpanjangan
PT. SINAR PEDOMAN ABADI,"Jl. Abdul Muis No. 46, Petojo Selatan, Gambir, Jakarta Pusat 10160","(021) 3861010, (021) 3861034",,,Pertamina,SPBU,34-12408,,JS/088/2008/II/P,Jakarta Selatan,"Jl. Raya Pasar Jumat, Lebak Bulus, Cilandak, Jakarta Selatan 12440",Lebak Bulus,Cilandak,42/2010,6/04/2010,6/04/2015,Tidak Beroperasi
PT. BATAVIA INSANI PERSADA,"Jl. Karang Tengah Raya No. 20, Lebak Bulus, Cilandak, Jakarta Selatan 12440",(021) 75900546,,Hairiyah,Pertamina,SPBU,34-12409,,JS/019/2006/II,Jakarta Selatan,"Jl. Karang Tengah Raya No. 20, Lebak Bulus, Cilandak, Jakarta Selatan 12440",Lebak Bulus,Cilandak,35/2012,29/05/2012,,PJ/Selama Masih Beroperasi
PT. SUKSES USAHA PRATAMA JAYA,"Jl. Karang Tengah Raya No. 7-8, Lebak Bulus, Cilandak, Jakarta Selatan","(021) 7690088, (021) 7501743",02.143.358.6-016.000,Roy Reinaldo Purnama,Pertamina,SPBU,34-12410,,JS/054/2007/II,Jakarta Selatan,"Jl. Karang Tengah Raya No. 7-8, Lebak Bulus, Cilandak, Jakarta Selatan 12440",Lebak Bulus,Cilandak,Mar-14,20/01/2014,,PJ/Selama Masih Beroperasi
PT. MARGAGUNA MAJU BERSAMA,"Jl. Margaguna No. 11, Jakarta Selatan",(021) 7656727,,,Pertamina,SPBU,34-12411,,JS/062/2007/II,Jakarta Selatan,"Jl. Margaguna No. 11 RT002/RW01, Gandaria Selatan, CIlandak, Jakarta Selatan 12420",Gandaria Selatan,CIlandak,13/2008,7/01/2008,7/01/2013,Expired
PT. CATUR MAKMUR SENTOSA ABADI,"Jl. Raya Pasar Minggu No. 5CDE RT007/RW08, Kalibata, Pancoran, Jakarta Selatan 12740","(021) 4507427, (021) 4507428",,,Pertamina,SPBU,34-12412,2010,JS/272/2010/II,Jakarta Selatan,"Jl. RA. Kartini Kav. 48, Cilandak Barat, Cilandak, Jakarta Selatan 12430",Cilandak Barat,Cilandak,19/2010,17/02/2010,17/02/2015,Baru
NY. KOESRINI,"Jl. Terusan Hang Lekir III/55, Jakarta Selatan",(021) 7692191,,,Pertamina,SPBU,34-12501,,JS/149/2008/II/P,Jakarta Selatan,"Jl. Pangeran Antasari, Cipete Selatan, Cilandak, Jakarta Selatan 12410",Cipete Selatan,Cilandak,459/2008,16/07/2008,16/07/2009,Tidak Beroperasi
"PT. INDRIA MAXXIMUS (Ex. Erwin I.R.M. Sitorus, MBA)","Jl. Teuku Cik Ditiro No. 43 RT010/RW005, Menteng, Menteng, Jakarta Pusat 10310","(021) 3902312, (021) 3147531",,,Pertamina,SPBU,34-12502,,JS/095/2008/II/P,Jakarta Selatan,"Jl. TB. Simatupang Raya No. 25 RT005/RW009, Pasar Minggu, Pasar Minggu, Jakarta Selatan 12520",Pasar Minggu,Pasar Minggu,Sep-11,14/01/2011,14/01/2016,Perpanjangan
PT. SAIT JAYA,"Jl. Raya Pasar Minggu No. 100 RT008/RW06, Pejaten Timur, Pasar Minggu, Jakarta Selatan 12510","(021) 7948565, (021) 7992459",,,Pertamina,SPBU,34-12503,2002,JS/268/2009/II/P,Jakarta Selatan,"Jl. Raya Pasar Minggu No. 100 RT008/RW06, Pejaten Timur, Pasar Minggu, Jakarta Selatan 12510",Pejaten Timur,Pasar Minggu,Jul-11,11/01/2011,11/01/2016,Perpanjangan
ABDUL ROHIM,,,,,Pertamina,SPBU,34-12504,,,Jakarta Selatan,"Jl. Ampera Raya No. 16, Jakarta Selatan ",,,,,,Belum Urus Izin
PT. SINAR JAYA UTAMA MANDIRI (Ex. Sunarnani Sutopo),"Jl. Pulo Lentut No. 12, Kawasan Industri Pulogadung, Rawa Terate, Cakung, Jakarta Timur 13920","(021) 46611288, (021) 4608917",,,Pertamina,SPBU,34-12505,,JS/138/2008/II/P,Jakarta Selatan,"Jl. Raya Tanjung Barat No. 156, Tanjung Barat, Jagakarsa, Jakarta Selatan 12530",Tanjung Barat,Jagakarsa,82/2010,30/07/2010,30/07/2015,Perpanjangan
PT. GIGA INTRAX,"Gd. Victoria Centre Lt. 2 Jl. Sultan Hasanudin Kav. 47-51, Melawai, Kebayoran Baru, Jakarta Selatan 12160","(021) 7255551, (021) 7255550",,,Pertamina,SPBU,34-12506,,JS/142/2008/II/P,Jakarta Selatan,"Jl. TB Simatupang No. 06, Cilandak Timur, Pasar Minggu, Jakarta Selatan 12560",Cilandak Timur,Pasar Minggu,130/2010,22/10/2010,22/10/2015,Perpanjangan
PUSKOPAL MARINIR,"Gedung Kantin Prajurit Marinir, Jl. Raya Cilandak KKO, Cilandak Timur, Pasar Minggu, Jakarta Selatan 12560","(021) 7815524, (021) 78834143",,,Pertamina,SPBU,34-12507,,JS/177/2008/II/P,Jakarta Selatan,"Jl. Raya Cilandak KKO, Cilandak Timur, Pasar Minggu, Jakarta Selatan 12560",Cilandak Timur,Pasar Minggu,Aug-11,14/01/2011,14/01/2016,Perpanjangan
JON ROBIN,"Jl. Camar Raya A3 No. 11 RT010/RW06, Cilincing, Jakarta Utara",(021) 7873182,,,Pertamina,SPBU,34-12508,2003,JS/152/2008/II/P,Jakarta Selatan,"Jl. Jagakarsa II No.  4, Jagakarsa, Jagakarsa, Jakarta Selatan 12620",Jagakarsa,Jagakarsa,136/2009,6/10/2009,6/10/2010,Expired
PT. AMARA GAS (Ex. Reza Renaldi Syaiful),"Jl. Warung Jati Barat No. 20, Jati Padang, Jakarta Selatan",(021) 78845942,,,Pertamina,SPBU,34-12509,,JS/186/2008/II/P,Jakarta Selatan,"Jl. Warung Jati (Taman Margasatwa) No. 20-21, Jati Padang, Pasar Minggu, Jakarta Selatan 12540",Jati Padang,Pasar Minggu,434/2008,2/07/2008,2/07/2010,Expired (Berkas Proses)
PT. PURIAMPERA INTIPRATAMA,"Jl. TB Simatupang No. 1, Ragunan, Pasar Minggu, Jakarta Selatan 12550",(021) 78834340,,Dhania A Djawas,Pertamina,SPBU,34-12510,,JS/112/2008/II/P,Jakarta Selatan,"Jl. TB,  Simatupang No. 1, Ragunan, Pasar Minggu, Jakarta Selatan 12550",Ragunan,Pasar Minggu,29/2013,9/04/2013,,PJ/Selama Masih Beroperasi
PT. RAMA SETIA (Ex. H. M. Machfud),"Kartika Plaza Arcade, Jl. MH. Thamrin No. 10, Kebon Melati, Tanah Abang, Jakarta Pusat 10230","(021) 75913853, (021) 78830611",,,Pertamina,SPBU,34-12511,,JS/228/2008/II,Jakarta Selatan,"Jl. Pejaten Raya, Jatipadang, Pasar Minggu, Jakarta Selatan 12540",Jatipadang,Pasar Minggu,72/2011,4/05/2011,4/05/2016,Perpanjangan
PT. SUKSES PUTRA MANDIRI,"Jl. Taman Margasatwa Raya No. 28 RT 006/01, Ragunan, Pasar Minggu, Jakarta Selatan 12550","(021) 7828612, (021) 7828633",,Jonny Suyanto,Pertamina,SPBU,34-12512,,JS/324/2011/II,Jakarta Selatan,"Jl. Taman Margasatwa Raya No. 28 RT006/RW01, Ragunan, Pasar Minggu, Jakarta Selatan 12550",Ragunan,Pasar Minggu,Jul-12,7/02/2012,,BR/Selama Masih Beroperasi
NY. NUZWIR,"Jl. Kinanti No. 9, Lengkong, Bandung",(021) 7271425,,,Pertamina,SPBU,34-12601,,JS/176/2008/II/P,Jakarta Selatan,"Jl. Moch. Kahfi II No. 26, Srengseng Sawah, Jagakarsa, Jakarta Selatan 12640",Srengseng Sawah,Jagakarsa,332/2008,21/05/2008,21/05/2009,Expired
PT. GAYATRI SEJAHTERA ABADI (Ex. Drs. Suroyo),,,,,Pertamina,SPBU,34-12602,,,Jakarta Selatan,"Jl. Lenteng Agung No. 93 RT006/RW02, Jakarta Selatan ",,,,,,Belum Urus Izin (Berkas Proses)
NY. RAMALIYATI,"Jl. Sekolah No. 44 RT001/RW03, Bangka, Mampang Prapatan, Jakarta Selatan 12730",,,,Pertamina,SPBU,34-12603,,JS/283/2010/II/P,Jakarta Selatan,"Jl. Arteri Tanjung Barat RT006/RW02, Lenteng Agung, Jagakarsa, Jakarta Selatan 12610",Lenteng Agung,Jagakarsa,105/2010,30/08/2010,30/08/2011,Expired
GRANDIOSA PURBA,"Jl. Teratai VI Blok D No. 15 Perum Tanjung Barat Indah, Tanjung Barat, Jagakarsa, Jakarta Selatan 12530",(021) 78834370,,,Pertamina,SPBU,34-12604,,JS/227/2010/II/P,Jakarta Selatan,"Jl. Lenteng Agung No. 142 RT014/RW04, Tanjung Barat, Jagakarsa, Jakarta Selatan 12530",Tanjung Barat,Jagakarsa,48/2010,23/04/2010,23/04/2011,Expired
PT. MARATUR PANGGABEAN ANYELIR (Ex. Ny. Maratur Panggabean),"Jl. Raya Lenteng Agung No. 62 RT005/RW01, Lenteng Agung, Jagakarsa, Jakarta Selatan 12610",(021) 7806073,,,Pertamina,SPBU,34-12605,,JS/085/2008/II/P,Jakarta Selatan,"Jl. Raya Lenteng Agung No. 62 RT005/RW01, Lenteng Agung, Jagakarsa, Jakarta Selatan 12610",Lenteng Agung,Jagakarsa,93/2010,13/08/2010,13/08/2015,Perpanjangan
PT. GEMATAMA MANUNGGAL KARSA,"Jl. Muh. Kahfi I RT008/RW01 No. 1 Ciganjur, Jagakarsa, Pasar Minggu, Jakarta Selatan 12540",(021) 7867168,,,Pertamina,SPBU,34-12606,,JS/309/2011/II,Jakarta Selatan,"Jl. Moh. Kahfi I RT008/RW001 No. 1 Ciganjur, Jagakarsa, Pasar Minggu, Jakarta Selatan 12540",Jagakarsa,Pasar Minggu,101/2011,20/07/2011,20/07/2012,Expired 
DRS. H. AGUS SALIM NASUTION,"Jl. Patal Senayan No. 11 RT005/RW07, Jakarta Selatan",(021) 7871437,,,Pertamina,SPBU,34-12607,,JS/153/2008/II/P,Jakarta Selatan,"Jl. M. Kahfi I, Cipedak, Jagakarsa, Jakarta Selatan 12630",Cipedak,Jagakarsa,348/2008,30/05/2008,30/05/2009,Tidak Beroperasi
PT. DIRANATA GELORA JAYA,"Jl. Raya Jagakarsa No. 1A, Jagakarsa, Jagakarsa, Jakarta Selatan 12620","(021) 7873533, (021) 7873534",,,Pertamina,SPBU,34-12608,,JS/210/2008/II/P,Jakarta Selatan,"Jl. Raya Jagakarsa No. 1A, Jagakarsa, Jagakarsa, Jakarta Selatan 12620",Jagakarsa,Jagakarsa,151/2010,30/12/2010,30/12/2015,Perpanjangan
CV. MULTI GUNA ENERGI (Ex. Ny. Sri Rusmini),"Jl. Moh Kahfi I No. 21 RT008/RW06, Jagakarsa, Jagakarsa, Jakarta Selatan 12620",(021) 78843175,,,Pertamina,SPBU,34-12609,,JS/174/2008/II/P,Jakarta Selatan,"Jl. Moh Kahfi I No. 21 RT008/RW06, Jagakarsa, Jagakarsa, Jakarta Selatan 12620",Jagakarsa,Jagakarsa,66/2010,5/07/2010,5/07/2015,Perpanjangan
HJ. SAWIYAH,,,,,Pertamina,SPBU,34-12610,,,Jakarta Selatan,"Jl. Moh Kahfi II No. 17, Jakarta Selatan ",,,,,,Belum Urus Izin
PT. SURYA ARTHA CHANYA,"Graha Menara Hijau Lt. 4 Suite 404, Jl. MT. Haryono Kav. 33, Cikoko, Pancoran, Jakarta Selatan 12770","(021) 7985894, (021) 7985895",,Achmad NoviAN R,Pertamina,SPBU,34-12611,,JS/030/2007/II,Jakarta Selatan,"Jl. Moch,  Kahfi I, Cipedak, Jagakarsa, Jakarta Selatan 12630",Cipedak,Jagakarsa,51/2012,29/06/2012,,PJ/Selama Masih Beroperasi
PT. KARSA KARYA KUSUMA (Ex. Ori Santoso Hartono),"Jl. Warung Jati Barat No. 24, Kalibata, Pancoran, Jakarta Selatan 12740",(021) 7991878,,,Pertamina,SPBU,34-12701,2009,JS/113/2008/II/P,Jakarta Selatan,"Jl. Warung Jati Barat No. 24, Kalibata, Pancoran, Jakarta Selatan 12740",Kalibata,Pancoran,94/2009,28/07/2009,28/07/2014,Perpanjangan (3 Bulan Lagi Expired)
PT. BESTINDO PUTRA PERKASA,"Jl. Logistik/ Pegangsaan II No. 59, Koja, Jakarta Utara",(021) 4304031,,H. Muchaji,Pertamina,SPBU,34-12702,,JS/349/2013/II,Jakarta Selatan,"Jl. Kapt. Tendean No. 34 RT001/RW02, Kuningan Barat, Mampang Prapatan, Jakarta Selatan 12710",Kuningan Barat,Mampang Prapatan,30/2013,16/04/2013,,BR/Selama Masih Beroperasi
PRIMKOPAU,"Jl. Raya Pasar Minggu No. 14A, Pancoran, Pancoran, Jakarta Selatan 12780","(021) 7995132, (021) 7942968",,,Pertamina,SPBU&G,34-12703,,JS/193/2008/II/P,Jakarta Selatan,"Jl. Raya Pasar Minggu No. 14A, Pancoran, Pancoran, Jakarta Selatan 12780",Pancoran,Pancoran,65/2010,5/07/2010,5/07/2011,Expired (Berkas Proses)
PT. BUNCIT INRA RAYA,"Jl. Buncit Raya No. 112 RT002/RW07, Pejaten Barat, Jakarta Selatan 12510",(021) 7987949,,,Pertamina,SPBU,34-12704,1993,JS/194/2008/II/P,Jakarta Selatan,"Jl. Buncit Raya No. 112 RT002/RW07, Pejaten Barat, Pasar Minggu, Jakarta Selatan 12510",Pejaten Barat,Pasar Minggu,159/2009,28/11/2009,28/11/2010,Tidak Beroperasi
FAHMI DARMAWANSYAH,,,,,Pertamina,SPBU,34-12705,,,Jakarta Selatan,"Jl. MT. Haryono Kav. 44, Jakarta Selatan ",,,,,,Belum Urus Izin
"PT. KERTAS BASUKI RACHMAT INDONESIA, Tbk (Ex. PT. Indhasana)","Jl. Abdul Muis No. 46, Petojo Selatan, Gambir, Jakarta Pusat 10160","(021) 3861010, (021) 3805944",,,Pertamina,SPBU,34-12706,,JS/091/2008/II/P,Jakarta Selatan,"Jl. Mampang Prapatan No. 98, Tegal Parang, Mampang Prapatan, Jakarta Selatan 12790",Tegal Parang,Mampang Prapatan,167/2009,22/12/2009,22/12/2014,Perpanjangan
PT. DIRGANTARA ELANG SAKTI EKA SEJATI,"Jl. Tanah Abang II No. 113, Cideng, Gambir, Jakarta Pusat 10150","(021) 34830888, (021) 3853740",,,Pertamina,SPBU,34-12707,,JS/013/2006/II,Jakarta Selatan,"Jl. Raya Pasar Minggu, Pancoran, Pancoran, Jakarta Selatan ",Pancoran,Pancoran,Oct-06,11/09/2006,11/09/2011,Expired (Berkas Proses)
S. SUBENO,,,,,Pertamina,SPBU,34-12801,,,Jakarta Selatan,"Jl. Jend. Gatot Subroto, Jakarta Selatan ",,,,,,Tidak Beroperasi
NY. SRI SUHARNI,,,,,Pertamina,SPBU,34-12802,,,Jakarta Selatan,"Jl. Prof. Dr. Soepomo No. 49, Jakarta Selatan ",,,,,,Tidak Beroperasi
FADJRI SETIAWAN,,,,,Pertamina,SPBU,34-12804,,,Jakarta Selatan,"Jl. Prof. Dr. Soepomo, Jakarta Selatan ",,,,,,Belum Urus Izin
PT. MAGENDRA SHATRA PRATAMA,"Jl. KH. Abdullah Syafei No. 1 RT004/RW06, Bukit Duri, Tebet, Jakarta Selatan 12830","(021) 8303744, (021) 8281277",,Mohamad Rizki Pratama,Pertamina,SPBU,34-12805,,JS/014/2006/II,Jakarta Selatan,"Jl. Casablanca, Menteng Dalam, Tebet, Jakarta Selatan 12870",Menteng Dalam,Tebet,Aug-12,9/02/2012,,PJ/Selama Masih Beroperasi
PT. SINAR TERANG KENCANA,"Jl. Krekot Raya B2 No. 19, Jakarta Pusat",(021) 3841873,,,Pertamina,SPBU,34-12806,,JS/110/2008/II,Jakarta Selatan,"Jl. Prof. DR. Supomo No. 50, Menteng Dalam, Tebet, Jakarta Selatan 12870",Menteng Dalam,Tebet,192/2008,4/04/2008,4/04/2013,Expired (Berkas Proses)
PT. METRO PRIMA INVESTAMA,"Jl. Brigjend. Katamso No. 88, Slipi, Palmerah, Jakarta Barat 11410","(021) 5349884, (021) 5349939",,,Pertamina,SPBU,34-12901,,JS/078/2008/II/P,Jakarta Selatan,"Jl. Minangkabau Timur No. 33, Pasar Manggis, Setiabudi, Jakarta Selatan 12970",Pasar Manggis,Setiabudi,99/2010,20/08/2010,20/08/2015,Perpanjangan
PT. ESTIKA DAYA MANDIRI,"Jl. Gatot Subroto Kav. 31, Kuningan Timur, Setia Budi, Jakarta Selatan 12950","(021) 5201415, (021) 5201416",,,Pertamina,SPBU,34-12902,,JS/011/2006/II,Jakarta Selatan,"Jl. Jend. Gatot Subroto Kav. 31, Kuningan Timur, Setiabudi, Jakarta Selatan 12950",Kuningan Timur,Setiabudi,139/2011,17/11/2011,,PJ/Selama Masih Beroperasi
PT. GRAHA EKA SAKTI,"Jl. Achmad Yani No. 114A, Utan Kayu, Jakarta Timur ",(021) 8562232,,,Pertamina,SPBU,34-13101,,JT/126/2008/II/P,Jakarta Timur,"Jl. Achmad Yani No. 114A, Utan Kayu Utara, Matraman, Jakarta Timur 13120",Utan Kayu Utara,Matraman,303/2008,12/05/2008,12/05/2009,Expired
PT. GREGITAN DINAMIKA,"Jl. Matraman Raya No. 44, Kebon Manggis, Matraman, Jakarta Timur ","(021) 8584539, (021) 8517265",01.542.873.3-015.000,G.M. Joy Talumewo,Pertamina,SPBU,34-13102,,JT/200/2008/II,Jakarta Timur,"Jl. Matraman Raya No. 44, Kebon Manggis, Matraman, Jakarta Timur 13150",Kebon Manggis,Matraman,Nov-14,27/02/2014,,PJ/Selama Masih Beroperasi
PT. MAGENDRA SHATRA PRATAMA,"Jl. KH. Abdullah Syafei (Jl. Lapangan Roos), Bukit Duri, Tebet, Jakarta Selatan 12480",,,,Pertamina,SPBU,34-13103,,JT/238/2008/II,Jakarta Timur,"Jl. Matraman Raya No. 84, Kebon Manggis, Matraman, Jakarta Timur 13150",Kebon Manggis,Matraman,748/2008,12/12/2008,12/12/2013,Expired
PT. TISAHADA LESTARI JAYA (Ex. Melly Damanik Budiman),"Jl. I Gusti Ngurah Rai No. 4 RT005/RW06, Cipinang Muara, Jatinegara, Jakarta Timur 13420",(021) 8504349,,,Pertamina,SPBU,34-13201,,JT/146/2008/II/P,Jakarta Timur,"Jl. I Gusti Ngurah Rai No. 4 RT005/RW06, Cipinang Muara, Jatinegara, Jakarta Timur 13420",Cipinang Muara,Jatinegara,64/2010,5/07/2010,5/07/2015,Perpanjangan (Berkas Proses)
PT. PANCAR  BERKAH  PERSADA (Ex. Ny. Maharani Sebayang),"Jl. Perintis Kemerdekaan Kav. 194, Pulogadung, Pulogadung, Jakarta Timur 13260","(021) 4894553, (021) 4759061",,,Pertamina,SPBU,34-13202,1990,JT/103/2008/II/P,Jakarta Timur,"Jl. Perintis Kemerdekaan Kav. 194, Pulogadung, Pulogadung, Jakarta Timur 13260",Pulogadung,Pulogadung,21/2011,28/01/2011,28/01/2016,Perpanjangan
PT. PULOMAS JAYA,"Gedung Perkantoran Pulomas Satu Gedung III Lt. 2, Jl. Jend Ahmad Yani No. 2, Jakarta Timur 13210",(021) 4750903,,,Pertamina,SPBU,34-13203,,JT/250/2009/II/P,Jakarta Timur,"Jl. Kayu Putih Raya, Kayu Putih, Pulogadung, Jakarta Timur 13210",Kayu Putih,Pulogadung,57/2009,20/05/2009,20/05/2014,Perpanjangan (3 Bulan Lagi Expired)
PT. MUTHIAH HAKEN BATAVIA (Ex. H. Mugeni Ilyas),"Jl. Perintis Kemerdekaan No. 46, Kayu Putih, Pulogadung, Jakarta Timur",(021) 4895048,31.727.265.6-003.000,Muthiah Ilyas,Pertamina,SPBU,34-13205,,JT/122/2008/II/P,Jakarta Timur,"Jl. Perintis Kemerdekaan No. 46, Kayu Putih, Pulogadung, Jakarta Timur 13210",Kayu Putih,Pulogadung,Jul-14,13/02/2014,,PJ/Selama Masih Beroperasi
CV. VIRGO SARANA PRAKARSA (Ex. Hj. Etty Mustam),"Jl. Pemuda Kav. 3-4, Rawamangun, Pulogadung, Jakarta Timur 13220","(021) 4897333, (021) 4703363",,Drs. H. Eko Wuryanto,Pertamina,SPBU,34-13206,,JT/079/2008/II/P,Jakarta Timur,"Jl. Pemuda Kav,  3-4, Rawamangun, Pulogadung, Jakarta Timur 13220",Rawamangun,Pulogadung,108/2012,11/12/2012,,PJ/Selama Masih Beroperasi
PT. BRAHMA DIRGAJAYA ASRI,"Jl. Rawamangun Muka No. 1, Rawamangun, Pulogadung, Jakarta Timur 13220",(021) 4702559,,,Pertamina,SPBU,34-13208,,JT/199/2008/II/P,Jakarta Timur,"Jl. Rawamangun Muka No. 1, Rawamangun, Pulogadung, Jakarta Timur 13220",Rawamangun,Pulogadung,116/2009,18/08/2009,18/08/2010,Expired
PT. DINOYO MAKMUR,"Jl. Villa Taman Telaga TJ-2/01, Surabaya, Jawa Timur ",(031) 5686863,,,Pertamina,SPBU,34-13209,,JT/245/2008/II,Jakarta Timur,"Jl. Pemuda No. 40-41 RT010/RW03, Rawamangun, Pulogadung, Jakarta Timur 13220",Rawamangun,Pulogadung,90/2014,11/07/2014,24/02/2014,PJ/Selama Masih Beroperasi
PT. ARTTECH INDONESIA,"Jl. Pemuda No. 88, Rawamangun, Pulogadung, Jakarta Timur 13220","(021) 4710611, (021) 4710613",,,Pertamina,SPBU,34-13210,,JT/273/2010/II/P,Jakarta Timur,"Jl. Pemuda RT011/RW014, Rawamangun, Pulogadung, Jakarta Timur 13220",Rawamangun,Pulogadung,26/2010,4/03/2010,4/03/2015,Baru
